INPUT SPACE DOWN
TRACE_ACTIVE_AFTER_SPACE
HUDCMD_095 all=0136 op=D0 lop=0 sx=120 sy=256 dx=232 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=E830 HL=0808
HUDCMD_096 all=0137 op=D0 lop=0 sx=112 sy=256 dx=240 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=F030 HL=0808
HUDCMD_097 all=0138 op=D0 lop=0 sx=120 sy=256 dx=248 dy=048 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=F830 HL=0808
HUDCMD_098 all=0139 op=D0 lop=0 sx=128 sy=264 dx=000 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=0038 HL=0808
HUDCMD_099 all=0140 op=D0 lop=0 sx=136 sy=264 dx=008 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=0838 HL=0808
HUDCMD_100 all=0141 op=D0 lop=0 sx=144 sy=264 dx=016 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=1038 HL=0808
HUDCMD_101 all=0142 op=D0 lop=0 sx=152 sy=264 dx=024 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=1838 HL=0808
HUDCMD_102 all=0143 op=D0 lop=0 sx=160 sy=280 dx=032 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=2038 HL=0808
HUDCMD_103 all=0144 op=D0 lop=0 sx=168 sy=280 dx=040 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=2838 HL=0808
HUDCMD_104 all=0145 op=D0 lop=0 sx=176 sy=280 dx=048 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=3038 HL=0808
HUDCMD_105 all=0146 op=D0 lop=0 sx=184 sy=280 dx=056 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=3838 HL=0808
