WRT_038 hl=199D a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=00,05 rest=00,05 draw=FF@1D,0C
WRT_039 hl=199E a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=00,06 rest=00,06 draw=FF@1E,0C
WRT_040 hl=199F a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=00,07 rest=00,07 draw=FF@1F,0C
WRT_041 hl=19B8 a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=01,00 rest=01,00 draw=FF@18,0D
WRT_042 hl=19B9 a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=01,01 rest=01,01 draw=FF@19,0D
WRT_043 hl=19BA a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=01,02 rest=01,02 draw=FF@1A,0D
WRT_044 hl=19BB a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=01,03 rest=01,03 draw=FF@1B,0D
WRT_045 hl=19BC a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=01,04 rest=01,04 draw=FF@1C,0D
WRT_046 hl=19BD a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=01,05 rest=01,05 draw=FF@1D,0D
WRT_047 hl=19BE a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=01,06 rest=01,06 draw=FF@1E,0D
WRT_048 hl=19BF a=FF pc=40E6 sp=F368 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=6730 xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=6770 timer=00 act=06 tgt=00@00,00 aux0=03 dirty=01 rowcol=01,07 rest=01,07 draw=FF@1F,0D
