AFTER_ANIM pc=6195 sp=F342 top=6198/6198 bank=06/06 irq=000F inirq=00
LOOP_START pc=6165 sp=F340 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_INPUT pc=6171 sp=F340 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TIMER pc=6177 sp=F340 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TRANSITION pc=617A sp=F340 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ENTITIES pc=617D sp=F340 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_PLAYER_SM pc=6186 sp=F340 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ALL_SM pc=6189 sp=F340 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_SFX pc=6192 sp=F340 top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ANIM pc=6195 sp=F340 top=6198/6198 bank=06/06 irq=000F inirq=00
LOOP_START pc=6165 sp=F33E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_INPUT pc=6171 sp=F33E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TIMER pc=6177 sp=F33E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TRANSITION pc=617A sp=F33E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ENTITIES pc=617D sp=F33E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_PLAYER_SM pc=6186 sp=F33E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ALL_SM pc=6189 sp=F33E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_SFX pc=6192 sp=F33E top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ANIM pc=6195 sp=F33E top=6198/6198 bank=06/06 irq=000F inirq=00
LOOP_START pc=6165 sp=F33C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_INPUT pc=6171 sp=F33C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TIMER pc=6177 sp=F33C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_TRANSITION pc=617A sp=F33C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ENTITIES pc=617D sp=F33C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_SFX pc=6192 sp=F33C top=6198/6198 bank=06/06 irq=000F inirq=00
AFTER_ANIM pc=6195 sp=F33C top=6198/6198 bank=06/06 irq=000F inirq=00
space1_before pc=FD9A sp=E334 top=19AB/4010 bank=47/47 irq=B20F inirq=01
space1_after pc=FD9A sp=DFCA top=19AB/4010 bank=47/47 irq=B21E inirq=01
space2_before pc=199E sp=C7FC top=47C7/0701 bank=47/47 irq=B287 inirq=01
space2_after pc=199E sp=C492 top=47C7/0701 bank=47/47 irq=B296 inirq=01
final pc=1B19 sp=F300 top=C9C9/C9C9 bank=42/62 irq=B2A0 inirq=01
