BP_task_input_288 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=024E inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,192,160 pos=8,80
BP_task_input_289 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=024F inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,192,160 pos=8,80
BP_task_input_290 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0250 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,193,160 pos=8,80
BP_task_input_291 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0251 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,193,160 pos=8,80
BP_task_input_292 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0252 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,193,160 pos=8,80
BP_task_input_293 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0253 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,194,160 pos=8,80
BP_task_input_294 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0254 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,194,160 pos=8,80
BP_task_input_295 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0255 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,194,160 pos=8,80
BP_task_input_296 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0256 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,195,160 pos=8,80
BP_task_input_297 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0257 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,195,160 pos=8,80
BP_task_input_298 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0258 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,195,160 pos=8,80
BP_task_input_299 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0259 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,196,160 pos=8,80
BP_task_input_300 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=025A inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,196,160 pos=8,80
BP_task_input_301 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=025B inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,196,160 pos=8,80
BP_task_input_302 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=025C inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,197,160 pos=8,80
BP_task_input_303 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=025D inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,197,160 pos=8,80
BP_task_input_304 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=025E inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,197,160 pos=8,80
