first_SPC_DOWN
second_SPC_DOWN
START_update_all_entities pc=7861 op=3A,B4,DF sp=F37A af=004C bc=0200 de=0000 hl=DEB4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_070_update_input_component pc=660F op=3A,C8,E9 sp=F378 af=0044 bc=0020 de=001F hl=DF53 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_071_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0042 bc=0000 de=001F hl=E9A9 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_072_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=CD44 bc=A4D7 de=CD70 hl=A644 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_073_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0544 bc=A377 de=08CD hl=A648 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_074_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=7E44 bc=A2CD de=7DD4 hl=A64C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_075_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=CD44 bc=A1B4 de=CD6B hl=A650 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_076_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=B344 bc=A06B de=94CD hl=A654 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_077_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5144 bc=9FCD de=69B2 hl=A658 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_078_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=CD44 bc=9E8F de=CD61 hl=A65C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_079_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=D644 bc=9D51 de=17CD hl=A660 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_080_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5244 bc=9C3A de=E42B hl=A664 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_081_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=FE44 bc=9B00 de=85CA hl=A668 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_082_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A644 bc=9AFE de=CA01 hl=A66C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_083_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=8544 bc=99A6 de=02FE hl=A670 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_084_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=CA44 bc=9885 de=FEA6 hl=A674 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_085_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0344 bc=97CA de=A685 hl=A678 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_086_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=FE44 bc=9604 de=85CA hl=A67C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_087_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A644 bc=95FE de=CA05 hl=A680 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_088_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=8544 bc=94A6 de=88C3 hl=A684 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_089_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A644 bc=93CD de=5179 hl=A688 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
